Era,Name,Notes,Designer,Art Type,Image,Project Type,Use,Link(s)
Entergalactic [V2],Stars In The Sky,,,,,Front Cover,Used,https://mega.nz/file/qQBziRDI#n59X9bAc5EiqtK8EXPbd7e--UtDcrpZx04WsRDkeFa8
Entergalactic [V2],Nigo - Want It Bad [Single Cover],,,,,Front Cover,Used,https://mega.nz/file/fER0jKKC#j3odxKfMkdZiBnMb-f_QAIBRAEWphApLvJrDUg0xUKU
Entergalactic [V2],Pusha T - Rock N Roll,,,,,Front Cover,Used,https://mega.nz/file/eVgFVCqK#Xdq_OOzfaV0YK2idfsHkNSrkYD_-O6yW3g94g99xLdU
Entergalactic [V2],,,,,,Back Cover,Used,
Entergalactic [V2],,,,,,Front Cover,Used,
Entergalactic [V2],Dot Da Genius - Talk About Me,,,,,Front Cover,Used,https://mega.nz/file/iIZjhKKQ#xgoCMu1bNbkPGy4MZ0sI0cYvAcmdDlvha1qS-O7NXXY
Entergalactic [V2],Do What I Want,,,,,Front Cover,Used,https://mega.nz/file/3UhiGAqB#K5P87DlkjA-BGGKI7OoJdaNDgo4Gdq_A0v3NjxqUP2o
Entergalactic [V2],Willing To Trust,,,,,Front Cover,Used,https://mega.nz/file/zcRWlBxD#dlNFAdPQ5uz0-kOq6CaqX4Zf1x0ffRfnyrDnvu3aOk8
Entergalactic [V2],Entergalactic [Front Cover],,,,,Front Cover,Used,https://mega.nz/file/GFJmwIKb#gPoEUUYcH6AZwhytYL63b1kqmQFJ5mYF0VcSJO4Yg0o
Entergalactic [V2],Entergalactic [Back Cover],,,,,Back Cover,Used,/cudigold/art/entergalactic-back-cover.jpg
Entergalactic [V2],,,,,,Front Cover,Used,
INSANO,,,,,,Front Cover,Used,
INSANO,,,,,,Back Cover,Used,
INSANO,,,,,,Front Cover,Used,
INSANO,,,,,,Front Cover,Used,
INSANO,,,,,,Single,Used,
INSANO,,,,,,Front Cover,Used,
INSANO,,,,,,Back Cover,Used,
INSANO,Skrillex - Summertime,,,,,Front Cover,Used,https://mega.nz/file/6QYwnDhA#EYzIVzix9KpiLNiY4udD5ldCCuoWbjlSBfyRcqxUd0s
INSANO,INSANO (Tweet cover),Promo artwork.,,,,Promo Art,Used,/cudigold/art/insano-tweet-cover.jpg
INSANO,,,,,,Single,Used,
INSANO,PORSCHE TOPLESS (Single),,,,,Single,Used,/cudigold/art/porsche-topless-single.jpg
INSANO,,,,,,Single,Used,
INSANO,ill What I Bleed,,,,,Front Cover,Used,/cudigold/art/ill-what-i-bleed.jpg
INSANO,INSANO [Cover 1],,,,,Front Cover,Used,https://ibb.co/Sd1VGh8
INSANO,,,,,,Back Cover,Used,
INSANO,INSANO [Cover 2],,,,,Front Cover,Used,https://ibb.co/PD6PxQV
INSANO,,,,,,Back Cover,Used,
INSANO,INSANO [Cover 3],,,,,Front Cover,Used,https://ibb.co/YQR9NGs
INSANO,INSANO [Target Exclusive Cover],,,,,Front Cover,Used,https://ibb.co/BB8Crk9
INSANO,,,,,,Front Cover,Used,
INSANO,,,,,,Back Cover,Used,
INSANO,Black Ops - Single [Front Cover],,,,,Front Cover,Used,/cudigold/art/black-ops-single-front-cover.jpg
INSANO,INSANO (NITRO MEGA) - [Front Cover],,,,,Front Cover,Used,/cudigold/art/insano-nitro-mega-front-cover.jpg
INSANO,DREAMS I SEE - Single,,,,,Single,Used,/cudigold/art/dreams-i-see-single.jpg
INSANO,Saleka - Divine(feat. Kid Cudi),,,,,Front Cover,Used,
INSANO,Kid Cudi Presents Moon Man #01 [Main Cover],,,,,,,/cudigold/art/kid-cudi-presents-moon-man-01-main-cover.jpg
INSANO,Kid Cudi Presents Moon Man #01 [Cover B],Cover B Erica D'Urso Variant.,,,,,,/cudigold/art/kid-cudi-presents-moon-man-01-cover-b.jpg
,Kid Cudi Presents Moon Man #01 [Cover C],Cover C Rod Reis Variant.,,,,,,/cudigold/art/kid-cudi-presents-moon-man-01-cover-c.jpg
,Kid Cudi Presents Moon Man #01 [Cover D],Cover D 1:20 Sanford Greene Variant.,,,,,,/cudigold/art/kid-cudi-presents-moon-man-01-cover-d.jpg
