Era,Name,Notes,Image / Length,Date Made,Type,Available Length,Quality,Link(s)
Up 2 Më [V1],"Wonky
(prod. YEAT & SUBZEROSWIZ)","Alternative M4A bounce of ""Wonky"" dated June 23, 2021.",3:19,"Jun 23, 2021",Other,Full,CD Quality,https://pillows.su/f/ed162de7b95ef58a2f1f582668d550af
,Trëndi,,,,,,,
,Never Recorded,,,,,,,
Trëndi,"2turnty
(feat. Summrs, Kankan & SeptembersRich) (prod. Davyn & Artist)
(Extortion)","The track contains an open verse which Yeat mentioned in an Instagram Live on July 12, 2021 that SeptembersRich and Kankan were supposed to hop onto but this seemingly never happened. Unconfirmed it would have been with Summrs as well, who did end up hopping on alone.",,,Other,Never   Recorded,Not Available,N/A
Trëndi,"All i think bout
(feat. Lil Yachty) (prod. SUBZEROSWIZ)
(All i think about)","The leaked demo contains an open verse intended for Lil Yachty, however, it is unknown if he ever recorded.",,,Other,Never   Recorded,Not Available,N/A
Trëndi,"No Lz
(feat. Chief Keef) (prod. Hollow, Killsj & M15)","Previewed by Yeat in an Instagram post on August 2, 2021. Contains an open verse that Yeat wanted Chief Keef on, but this never happened.",,,Other,Never   Recorded,Not Available,N/A
Trëndi,"Twizz
(feat. Lil Yachty) (prod. yourbabymind & Synthetic)
(Downbad, Down bad)",The demo was intended for Lil Yachty but he likely did not record.,,,Other,Never   Recorded,Not Available,N/A
,Other,,,,,,,
Trëndi,"Ex Still [Underw6ter Exclusive]
(prod. Curesful, PinkGrillz & Wenom)
(X Still)","OG Filename: Ex Still [Prod. Curesful x PinkGrillz88 x Wenom] *Underw6ter Exclusive*
Version of ""Ex Still"" from co-producer Curesful with an ""Underw6ter Exclusive"" tag dated June 25, 2021, likely intended to drop under a host. Leaked on December 4, 2024.",2:42,"Jun 25, 2021",Other,OG File,High Quality,https://pillows.su/f/cb0ffe31ddc213bd6d3d1653ece9e20d
,Up 2 Më [V3],,,,,,,
,Never Recorded,,,,,,,
Up 2 Më [V3],"Nëw turban
(feat. Drake) (prod. Bugz Ronin, Ginseng & Misogi)
(New turban)","Track 5 on 2 Alivë (Geëk Pack), ""Nëw turban,"" was originally open verse. Previewed by Yeat in an Instagram post captioned ""I wonder who on dis?????????? NEWTURBAN"" on September 5, 2021. The caption led fans to believe there was a feature on the track, who many speculated to be Drake, however, this was never confirmed. Filename, which showed that the track contained an open verse, was previewed by Yeat while previewing ""Luh gëek"" on Twitter (now X) on December 1, 2021. The track was eventually released solo.",,"Sep 5, 2021",Other,Never   Recorded,Not Available,N/A
Up 2 Më [V3],"Kankan - Arcteryx [V1]
(feat. Yeat) (prod. Lito & Jdolla)
(Arc'teryx, arctteryx)","OG Filename: arctteryx v1 lito jdolla yeat opn
Previewed by Kankan in an Instagram Story on August 16, 2021. Filename teased by Kankan while previewing ""Wokeup"" in an Instagram post on October 17, 2021, where it shows the track contains an open verse intended for Yeat. OG file leaked on October 8, 2025.",,,Other,Never   Recorded,Not Available,"https://pillows.su/f/62769a2d29f555a87f8e30798af46c6d
https://pillows.su/f/145cd343f2819663c051d23a5c1cd1cc
https://soundcloud.com/fuckkkankan/arcteryx-v1-og-version-prod-lito-jdolla
https://pillows.su/f/0120671e8aac4be97c9d35488ce88cfe"
,Other,,,,,,,
Up 2 Më [V3],"real is rare
(prod. Luca Malaspina, 730hahah & LBW)
(Real Is rarë, Blues)","OG Filename: YEAT - real is rare prod luca malaspina x 730!
Alternate M4A file for ""Real is rarë,"" likely re-encoded through iMessage, sent/received on August 10, 2021. Leaked as a bonus in a $2,350 blind groupbuy for ""every month"" on April 27, 2025.",2:33,"Aug 10, 2021",Other,OG File,High Quality,https://pillows.su/f/44c4b9b0a6bf4f93d20f60dcb43a51a4
,2 Alivë,,,,,,,
,Never Recorded,,,,,,,
2 Alivë,"2 high
(feat. Lancey Foux) (prod. Outlit)
(Systëm, System, Bruce Wayne)","Track 10 on Lyfë, ""Systëm,"" was originally titled ""2 high"" and contained an open verse intended for Lancey Foux, however, he never recorded over it.",,,Other,Never   Recorded,Not Available,N/A
2 Alivë,"Bootup bible
(feat. Future) (prod. Synthetic & vvspipe)
(Boot up bible)","Previewed by Yeat on October 7, 2021 in a tweet alongside the caption ""Bootup bible need future on dis,"" suggesting the track has an open verse that he wanted Future on, however, this collaboration never happened.",,"Oct 7, 2021",Other,Never   Recorded,Not Available,https://pillows.su/f/9f349c40fe271e3bafe3387229ec1d2d
2 Alivë,"box
(feat. Lancey Foux) (prod. Synthetic, sharkboy & starboyrob)","The leaked demo contains 2 open verses intended for Lancey Foux, however, he never recorded over it. Era unconfirmed.",,,Other,Never   Recorded,Not Available,N/A
2 Alivë,"Luh break
(feat. Lancey Foux) (prod. prodbyamax & sp4cevoop)","The leaked demo contains an open verse allegedly intended for Lancey Foux, however, he never recorded over it Era unconfirmed.",,,Other,Never   Recorded,Not Available,N/A
2 Alivë,"skufflr
(feat. Lancey Foux) (prod. Synthetic, Baredex & Perdu)
(Rushmore)","The leaked demo contains an open verse allegedly intended for Lancey Foux, however, he never recorded over it.",,,Other,Never   Recorded,Not Available,N/A
2 Alivë,"???
(feat. Kodak Black)","Ahead of the release of 2 Alivë, Yeat allegedly had mentioned that he wanted Yung Kayo, Young Thug, and Kodak Black on the album, however, the last feature did not happen. He ended up getting a Gunna feature.",,,Other,Never   Recorded,Not Available,N/A
2 Alivë,"???
(prod. Trgc)","Instrumental previewed by Trgc in an Instagram Live on December 10, 2021 that he sent to Yeat.",,,Other,Never   Recorded,Recording,Link Needed
2 Alivë,"iayze - stars!
(feat. Yeat, Summrs & Kankan) (prod. Trgc, Clover Beats & kaaj)
(Starz, Percocet & Molly)","Previewed by Jace! (iayze) in an Instagram post on January 25, 2022. He mentioned in an interview with Kids Take Over that released on May 6, 2022 that he intended on dropping ""soon"" and that he wanted Kankan on it as well.",,"Jan 25, 2022",Other,Never   Recorded,Not Available,"https://youtu.be/DR20RloaV6k?t=1085
https://pillows.su/f/46a2e76e5d60aed6605186b6b33bd88e"
2 Alivë,"Kankan - ??? [V1]
(feat. Yeat) (prod. Kankan, Jdolla & Finn Tudor)
(Really Rich)","Kankan previewed the original instrumental for ""Really Rich"" on Instagram on September 14, 2021, where the filename ""kankan yeat 3 jdolla  finntudor.wav"" was shown in a note called ""beats i made,"" indicating that the beat was originally considered for Yeat. However, Yeat likely never recorded as a snippet was shown right after with Kankan's vocals over the beat for ""Really Rich"" with the filename ""Really Rich prod kan jdolla finntudor"" before releasing on RR as track 5.",1:43,"Sep 14, 2021",Other,Never   Recorded,Not Available,"https://pillows.su/f/a025764171aad92951d472494ed849c9
https://pillows.su/f/633a824ae45157f9b9b5610360dcb0ab"
2 Alivë,"Kankan - ???
(feat. Yeat) (prod. Kankan & Finn Tudor)","While previewing the original instrumental for ""Really Rich"" which was originally intended for Yeat, Kankan teased another beat right above that was also intended for Yeat, with the filename ""kankan yeat 2 finntudor.wav,"" however, it is unlikely that Yeat ever hopped onto the beat.",1:54,"Sep 14, 2021",Other,Never   Recorded,Not Available,https://pillows.su/f/a025764171aad92951d472494ed849c9
2 Alivë,"Kankan, iayze & Yeat - ???","Jace! (iayze) mentioned in an interview with Kids Take Over that released on May 6, 2022 that he never properly met Yeat but that Kankan had put him in a groupchat with him and Yeat and they were supposed to do a song together. Unconfirmed whether the song was actually made and unknown when exactly it would have been made.",,,Other,Never   Recorded,Not Available,https://www.youtube.com/watch?v=DR20RloaV6k&t=1020s
