Era,Name,"Notes
(Join the Gorillaz Tracker Discord Server!)",Designer,Art Type,Image,Project Type,Use,Link(s)
The Now Now,Sorcererz / Fire Flies / Hollywood (Streaming),,Jamie Hewlett,Digital,,Front Cover,Used,https://a5.mzstatic.com/us/r1000/0/Music115/v4/c8/a2/c0/c8a2c0cc-28e9-c0c6-f425-f6aaf13191f4/190295620660.jpg
The Now Now,Hollywood,Promo image for 'Hollywood'.,,,,Promo Art,Used,https://static.wikia.nocookie.net/kong/images/7/7a/Hollywood_Cover.png/revision/latest?cb=20221124184322&format=original
The Now Now,The Now Now,,Jamie Hewlett,Digital,,Front Cover,Used,https://a5.mzstatic.com/us/r1000/0/Music115/v4/c8/a2/c0/c8a2c0cc-28e9-c0c6-f425-f6aaf13191f4/190295620660.jpg
The Now Now,The Now Now,Logo version from the physical releases,Jamie Hewlett,Scan,,Front Cover,Used,https://static.wikia.nocookie.net/kong/images/1/1d/TheNowNowLogoSticker.jpg/revision/latest?cb=20230630223705&format=original
The Now Now,Tranz,,,,,Front Cover,Used,https://gorillazforbeginners.files.wordpress.com/2018/09/tranz.jpg
The Now Now,Tranz (Poté Remix),,,,,Front Cover,Used,https://static.wikia.nocookie.net/kong/images/9/9c/Tranz_Pote.jpg/revision/latest?cb=20230628185525&format=original
Strange Timez,Reject False Icons,,,,,,Used,
Strange Timez,Song Machine Theme Tune,"Streaming cover for all versions of Song Machine, Season One: Strange Timez.",Jamie Hewlett,Digital,,Front Cover,Used,https://a5.mzstatic.com/us/r1000/0/Music125/v4/01/d6/6e/01d66e09-0bcc-c560-469b-f6f3af6124b6/190295143152.jpg
Strange Timez,"Song Machine Episode 1:
Momentary Bliss",,Jamie Hewlett,Digital,,Front Cover,Used,https://a5.mzstatic.com/us/r1000/0/Music124/v4/39/d0/70/39d07009-da7f-6af0-6082-a2cd101fb934/190295275754.jpg
Strange Timez,"Song Machine Episode 2:
Désolé",,Jamie Hewlett,Digital,,Front Cover,Used,https://a5.mzstatic.com/us/r1000/0/Music125/v4/55/8f/65/558f65e4-4526-d003-5d0d-1fd52a483cbb/190295256586.jpg
