Era,Name,Notes,Track Length,File Date,Leak Date,Available Length,Quality,Link(s)
Owl Pharaoh,Meadow Creek [Demo],"OG Filename: medow creek 04.06.2013
Appears on the May 2013 tracklist; dated April 6, 2013. 1:36 long, 12 seconds shorter than release.",1:36,"Apr 6, 2013",,N/A,,
Owl Pharaoh,"MIA [Demo 1]
[prod. Lex Luger]","Early version that has a slightly different beat and a different intro. Posted privately to a SoundCloud account on May 13, 2013, but wasn't made publicly available until August 18, 2016.",3:37,,"Aug 18, 2016",Full - HQ,,KrakenFiles
Owl Pharaoh,"MIA [Demo 2]
[prod. Lex Luger]",Version referred to as v2.5 that appears on the May 2013 tracklist. 4:26; 4 seconds shorter than release.,4:26,,,N/A,,
Owl Pharaoh,"⭐ Momma Be Trippin
[prod. Amplive & Travis Scott]
(AKA: Last Night)","Throwaway from early versions of 'Owl Pharaoh'; likely to be the song ""Last Night"" from the August 2012 tracklist. OG Drewbie, an ex-friend of Travis, threatened to leak it on March 25, 2013; it leaked independently of him the same night. Technically released on the Grand Hustle compilation tape 'We Run This Vol. 10'.",3:32,,"Mar 25, 2013",Full - HQ,,KrakenFiles
Owl Pharaoh,"Naked [Demo 1]
(feat. Rick Rubin) 
[prod. J Gramm, Travis Scott & Rick Rubin]","Alternate version that is much longer and fleshed out, but unfinished. Rick Rubin speaks during the intro, and can be heard throughout the track. Posted privately to a SoundCloud account on March 5, 2013, but wasn't made publicly available until August 18, 2016.",5:22,,"Aug 18, 2016",Full - HQ,,Pillowcase
Owl Pharaoh,"Naked [Demo 2]
(add. Rick Rubin) 
[prod. J Gramm, Travis Scott, Ann Marie Calhoun & Rick Rubin]","Version with violin at the end from Ann Marie Calhoun, as well a snare created from her drumming against the violin. Likely wasn't recorded properly as it was merely an idea from Ann. Posted privately to a SoundCloud account on May 10, 2013, but wasn't made publicly available until August 18, 2016.",,,,Partial - LQ,,Pillowcase
Owl Pharaoh,"Naked [Demo 3]
(feat. Justin Vernon) 
[prod. J Gramm, Travis Scott & Rick Rubin]","Later version with a rough version of the final first verse, and extra autotune on Justin Vernon's vocals. A snippet recorded in the studio was leaked by KTT user Hdz on July 14, 2013, but was partially lost for over a decade; Justin's part was widely circulated as part of an edit, but Travis's vocals were always missing.",,,,Partial - LQ,,Pillowcase
Owl Pharaoh,"Naked [Demo 4 / Uncut Version]
(feat. Justin Vernon; add. Rick Rubin) 
[prod. J Gramm, Travis Scott & Rick Rubin]","Version that appears on the May 2013 tracklist; Pharaohxx stated that the version put on the project was a teaser, since Rick Rubin wanted to develop the track further.",5:32,,,N/A,,
Owl Pharaoh,"⭐ Naked [Rick Rubin Rework] 
(feat. Justin Vernon) 
[prod. J Gramm, Travis Scott & Rick Rubin]","OG Filename: Travis_Scott_Bon_Iver_Naked_Final_Verses_2 2
Reworked version intended for the iTunes deluxe version of 'Owl Pharaoh' that never came out, and later intended for an album set to release in 2014 that was ultimately scrapped. Features an additional verse from Travis and vocals from Justin Vernon of Bon Iver. Leaked May 10, 2023.",5:05,,"May 10, 2023",Full - HQ,,KrakenFiles
Owl Pharaoh,Night [V1],"Supposedly from 2011, per Pharaohxx, though KTT user Lord Elm, who owned the song prior to it leaking, claimed that it was from summer 2012. KTT users claimed that Travis said in a now-deleted tweet that it was intended as a reference for another artist, presumably Kanye, but finding a direct source for this has been difficult; he did, however, definitely say ""fuck that night song"" after it leaked. Uses the same instrumental sample as Trouble's ""Molly World"", featuring Future; most likely coincidence and not a sample. This unmastered version leaked November 5, 2021.",3:34,,"Nov 5, 2021",Full - HQ,,KrakenFiles
Owl Pharaoh,Night [V2],"Better mixed version. Accurate version numbers for 'V2'-'V4' are unclear. Leaked March 13, 2013.",3:41,,"Mar 13, 2013",Full - HQ,,KrakenFiles
Owl Pharaoh,Night [V3],"Slightly different mix; otherwise identical. Leaked by Fitz on KTT on June 1, 2013, after he was sold a pack of early 'Owl Pharaoh' tracks by Pharaohxx.",3:43,,"Jun 1, 2013",Full - HQ,,KrakenFiles
Owl Pharaoh,⭐ Night [V4],"OG Filename: Night
Another slightly different mix; otherwise identical. Leaked October 19, 2022.",3:41,"Mar 11, 2013","Oct 19, 2022",Full - HQ,,KrakenFiles
Owl Pharaoh,"Old English [Mike Dean Rework] 
(feat. King Chip & Ashton Travis) 
[prod. THC, Travis Scott & MIKE DEAN]","Reworked version with production from Mike Dean intended for 'Owl Pharaoh' in early 2013, but was left off in the end; Travis's verse is also the first verse now. Performed with Mike at some point, possibly in mid-February 2013, but all links to it appear to be dead. The real thing hasn't leaked, but a quite accurate fan-made recreation was posted to KTT on February 27, 2013. The only remaining snippets online were posted after the recreation, so it's unknown what audio the recreation was based on.",,,,Snippet - LQ,,Pillowcase
Owl Pharaoh,🥇 Orangutan,"Previewed by Travis on Vine on April 19, 2013.",,,,Snippet - LQ,,Pillowcase
Owl Pharaoh,Owl Pharaoh Intro,"Instrumental track; served as the intro to early versions of 'Owl Pharaoh'. Leaked by Fitz on KTT on June 1, 2013, after he was sold a pack of early 'Owl Pharaoh' tracks by Pharaohxx.",1:53,,"Jun 1, 2013",Full - HQ,,KrakenFiles
Owl Pharaoh,"Paradise [V2]
[prod. Travis Scott]","Leaked on July 19, 2013, after being acquired from Tony Loney by KTT users Carlos and xxman. Open-verse.",3:51,,"Jul 19, 2013",Full - HQ,,KrakenFiles
Owl Pharaoh,"Paradise [V3]
[prod. Travis Scott]","Leaked by Fitz on KTT on June 1, 2013, after he was sold a pack of early 'Owl Pharaoh' tracks by Pharaohxx. Features Travis trying to create a verse, as well as the chorus from 'V2'.",3:50,,"Jun 1, 2013",Full - HQ,,KrakenFiles
Owl Pharaoh,"Pharaoh
[prod. Travis Scott]","Appears on some early tracklists provided by L$ that were emailed to him by Travis. Confirmed to be a different song from ""Owl Pharaoh Intro"", as Pharaohxx offered it to KTT user xxman separately.",,,,N/A,,
Owl Pharaoh,"Phoenix
(feat. ???)
[prod. MIKE DEAN & Travis Scott]","Leaked by Fitz on KTT on June 1, 2013, after he was sold a pack of early 'Owl Pharaoh' tracks by Pharaohxx. ""Phoenix 9.0"" can be seen on the August 2012 tracklist, though it's unconfirmed if this is the same version. Features vocals from an unknown female artist.",2:54,,"Jun 1, 2013",Full - HQ,,KrakenFiles
Owl Pharaoh,"Pussy [Demo]
(feat. Chuck Inglish) 
[prod. Mike WiLL Made-It]
(AKA: Changed My Life, Thank You For Changing My Life)","Early version without Gunplay or Fredo Santana. Features a verse from Chuck Inglish that was cut, some different lines from Travis, and an open verse. Also lacks the ""Been Trill"" tags. Titled ""Thank You For Changing My Life"" on an early 'Owl Pharaoh' tracklist, per Pharaohxx (assuming it's the same version). Leaked as ""Changed My Life"" on July 19, 2013, after being acquired from Tony Loney by KTT users Carlos and xxman.",4:31,,"Jul 19, 2013",Full - HQ,,KrakenFiles
