Era,Name,Notes,Art Type,Image,Project Type,Use,Link(s)
BL_CK B_ST_RDS,What A Nigga Know?,,Scan,,Front Cover,Used,https://dump.li/image/get/f1690870f07f7838.jpeg
BL_CK B_ST_RDS,What A Nigga Know? [Back Cover],,,,Back Cover,Used,https://ibb.co/GQW61W4D
BL_CK B_ST_RDS,What A Nigga Know? [Lyrics Sheet],"Lyrics sheet for What A Nigga Know?
 given out to radio stations with the 12 inch vinyl.",Scan,,Booklet,Used,https://i.ibb.co/xSSjjH4/1-bhfb-R9b-W9-Ei2-QDQlp-ELQA.webp
BL_CK B_ST_RDS,BL_CK B_ST_RDS (Deluxe Edition),,Digital,,Front Cover,Used,https://dump.li/image/get/48b994c7f8c1c3bf.jpeg
BL_CK B_ST_RDS,"BL_CK B_ST_RDS
(Deluxe Edition) [Back]",,Digital,,Front Cover,Alternate,https://dump.li/image/get/cdec5e42301d6512.jpeg
BL_CK B_ST_RDS,BL_CK B_ST_RDS [Promotional Postcard],"Promotion postcard for Black Bastards sent to radio stations to advertise the album's planned release of May 3, 1994.",Scan,,Promo Art,Used,https://i.ibb.co/PT6BvTb/1-w-Zj-Ghev1dx9co-Xc-Yk-Pr77-Q.webp
BL_CK B_ST_RDS,BL_CK B_ST_RDS [Original Cover Art],Original BL_CK B_ST_RDS cover art. Has the KMD logo and has a slightly different character design.,Scan,,Concept Art,Concept Art,https://i.ibb.co/HTJwrCm/1-GBI5adu15pk-Y9mw656-OJGQ.webp
BL_CK B_ST_RDS,The Best of KMD,,Scan,,Front Cover,Used,https://ibb.co/M5QNVhyd
BL_CK B_ST_RDS,The Best of KMD [Back Cover],,Photo,,Back Cover,Used,https://i.ibb.co/kBKQF7b/ALBUMkmdbestofkmdmore1.jpg
BL_CK B_ST_RDS,The Best of KMD CD Art,,Photo,,Physical Packaging,Used,https://i.ibb.co/hRkymZ1/ALBUMkmdbestofkmdmore2.jpg
BL_CK B_ST_RDS,BL_CK B_ST_RDS Advance Promo Cassette,BL_CK B_ST_RDS Advance Promo Cassette that was sent out to record label's ahead of BL_CK  B_ST_RDS release.,Photo,,Physical Packaging,Used,https://i.ibb.co/cJhdbCp/1-fm0-Wlxj-Iwg6s-KKBgd-Yhgg.webp
BL_CK B_ST_RDS,BL_CK B_ST_RDS Advance Promo Cassette Packaging,Packaging for the BL_CK B_ST_RDS Advance Promo Cassette. Tracklist featured is the same as released except for slightly different naming.,Scan,,Physical Packaging,Used,https://i.ibb.co/Rvh7jjj/1-x3-QTDv-WIg-Yo7-H-vk-N5-Ni-A.webp
Operation: Doomsday,Operation: Doomsday,Original cover for Operation: Doomsday used for the original pressing. Said to be drawn by DOOM himself. Not present on streaming services likely due to a cease & desist by Marvel.,Digital,,Front Cover,Used,https://dump.li/image/get/affe21a69a67b317.jpeg
Operation: Doomsday,Operation: Doomsday [Back Cover], Back cover for Operation: Doomsday featuring DOOM and his late brother Subroc. Photo taken at Dr. York's studio in upstate New York.,Scan,,Back Cover,Used,https://i.ibb.co/djFmFp4/R-213193-1521377553-9332.jpg
Operation: Doomsday,Operation: Doomsday [2011 Re-release Edition],Cover used for reissues of Operation: Doomsday: used as the cover on streaming versions.,Digital,,Front Cover,Used,https://dump.li/image/get/2599fc9640877e1c.jpeg
Operation: Doomsday,Operation: Doomsday [Silver Alternate Cover],,Scan,,Physical Packaging,Alternate,https://dump.li/image/get/c7b4b03eab0f6a92.jpeg
Operation: Doomsday,Operation: Doomsday (2011 Deluxe Remastered Edition),,Digital,,Front Cover,Used,https://dump.li/image/get/3b7c1c2f19a9270e.png
Operation: Doomsday,Operation: Doomsday Advertisement,,,,Promo Art,Used,https://ibb.co/N6BDrT42
1999 - 2003,MF EP,,Scan,,Front Cover,Used,https://dump.li/image/get/c3438541d6ef6bf2.jpeg
2000 - 2003,MF EP  [Back],,Scan,,Front Cover,Used,https://dump.li/image/get/b56754e9eda94fbd.jpeg
2001 - 2003,My Favorite Ladies/All Outta Ale,,Scan,,Front Cover,Used,https://i.ibb.co/bvT2Fs3/R-23138366-1673969696-3802.jpg
2002 - 2003,My Favorite Ladies/All Outta Ale [Back],,Scan,,Back Cover,Used,https://i.ibb.co/vZBJQwp/R-240174-1541216570-6976.jpg
2003 - 2003,My Favorite Ladies/All Outta Ale [Streaming Cover],version on streaming services for some reason,Digital,,Front Cover,Alternate,https://i.ibb.co/g6hMS2T/822720720002.jpg
2004 - 2003,"Put Your Quarter Up / Persevere / Follow Me (Ft. Aesop Rock, Slug, MF DOOM)",,Scan,,Front Cover,Used,https://i.ibb.co/mzGR332/R-225688-1577998889-4028.jpg
Escape from Monsta Island!,"Escape from Monsta Island!
",,Digital,,Front Cover,Used,https://files.catbox.moe/68nub8.jpg
"Escape from Monsta Island!
","Escape from Monsta Island! [Back]
",,Scan,,Back Cover,Used,https://dump.li/image/get/ffb482d10cfa2d9d.jpeg
Take Me To Your Leader,Take Me to Your Leader,,Digital,,Front Cover,Used,https://dump.li/image/get/f8b27a19687882d7.jpeg
Take Me To Your Leader,Take Me to Your Leader [Back],,Scan,,Back Cover,Used,https://dump.li/image/get/49f1e0403ca9ca4b.jpeg
Take Me To Your Leader,Take Me To Your Leader [Vinyl],"Vinyl cover of Take Me To Your Leader. Features a cream-colored background, with the icon colors being a deeper red. (This is also the Bandcamp cover, so that's why the art type is listed as digital.)",Digital,,Front Cover,Used,https://ibb.co/3ypGRSbS
