"Era","Name","Notes","Quality","Creator","Image","Link(s)"
"BALLADS 1","CAN'T GET OVER YOU","Cover Art for ""CAN'T GET OVER YOU (feat. Clams Casino)"".","2500x2500","","","https://drive.google.com/file/d/1_R1drxwXUcOipmr8oaqhuvYxnZjDm6HK/view?usp=drive_link"
"BALLADS 1","CAN'T GET OVER YOU [Music Video]","Cover Art of the music video for ""CAN'T GET OVER YOU"".","1920x951","","","/jojigold/art/can-t-get-over-you-music-video.jpg"
"BALLADS 1","Lil Gnar - FeelTheRage","Cover Art for ""FeelTheRage"" on Lil Gnar's SoundCloud account.
Created on March 28th, 2018, and finalized a day later.","4500x4500","","","https://drive.google.com/file/d/1QkUkCOa3nl29Yoj65OHoK7izTJmUtFMw/view?usp=drive_link"
"BALLADS 1","TRIPPIE","Cover Art for ""TRIPPIE (ROUGH BEAT & VOX)"", a private track uploaded to Joji's SoundCloud account. It's a screencap from the music video for ""God's Plan"" by Drake.","1271x1271","Drake","","https://drive.google.com/file/d/1vIPGZ4Yg2Zuv4zbPVt9hMMdXqJ0D918j/view?usp=drive_link"
"BALLADS 1","YEAH RIGHT [Cover 1]
aka. Yea Right","The first version of the cover art for ""YEAH RIGHT"".
Ripped from YouTube on the day of song's release by u/Systemthirtytwo.","489x489","","","/jojigold/art/yeah-right-cover-1-aka-yea-right.jpg"
"BALLADS 1","YEAH RIGHT [Cover 2]
aka. Yea Right","Cover Art for ""YEAH RIGHT"".","3000x3000","","","/jojigold/art/yeah-right-cover-2-aka-yea-right.png"
"BALLADS 1","YEAH RIGHT [Music Video]
aka. Yea Right","Cover Art of the music video for ""YEAH RIGHT"".","1920x1080","","","/jojigold/art/yeah-right-music-video-aka-yea-right.jpg"
"BALLADS 1","Ryan Hemsworth - Think About U","Cover Art for ""Think About U"".
Created on April 19th, 2018, and finalized on May 4th, 2018.
The metadata confirms at least 2 versions of the cover.
","3000x3000","","","https://drive.google.com/file/d/11WlzGjiHF9O82hqrKofSW6cwP32jNjV0/view"
"BALLADS 1","Ryan Hemsworth - Think About U [Music Video]","Cover Art of the music video for ""Think About U"".","1920x1080","","","/jojigold/art/ryan-hemsworth-think-about-u-music-video.png"
"BALLADS 1","SLOW DANCING IN THE DARK","Cover Art for ""SLOW DANCING IN THE DARK"".","3000x3000","","","https://drive.google.com/file/d/1hj-wqi1c0r1NrpDN7eMZrMj_lqq2wB8c/view"
"BALLADS 1","SLOW DANCING IN THE DARK [Music Video]","Cover Art of the music video for ""SLOW DANCING IN THE DARK"".","1920x1080","","","/jojigold/art/slow-dancing-in-the-dark-music-video.jpg"
